,name,Chukar.Occurrence
499,Cutter,A
500,Cutter Canyon,A
501,D Cross Mountain,A
502,Dale Mountain,A
503,Dalies,A
504,Dalies NW,A
505,Dallas Store,A
506,Dalton Pass,A
507,Dark Canyon,A
508,Datil,A
509,Davies Tank,A
510,Dawson,A
511,Day Canyon,A
512,Dayton,A
513,Deadman Canyon,A
514,Deadman Lake,A
515,Dean Ranch,A
516,Deep Well,A
517,Deer Mesa,A
518,Deering Place,A
519,Delgadita Mesa,A
520,Delphos,A
521,Deming East,A
522,Deming West,A
523,Denton Camp,A
524,Derrick Draw,A
525,Des Moines,A
526,Desert,A
527,Desert NE,A
528,Desert SE,A
529,Desert SW,A
530,Devils Well,A
531,Dexter East,A
532,Dexter West,A
533,Diablo Range,A
534,Diamond A Ranch,A
535,Diamond Mound,A
536,Dilia,A
537,Dillon Mountain,A
538,Divine Lake,A
539,Dog Lake,A
540,Dog Mountains,A
541,Dog Springs,A
542,Domingo Peak,A
543,Dona Ana,A
544,Dora,A
545,Dora NW,A
546,Dora SW,A
547,Dorsey Ranch,A
548,Dos Lomas,A
549,Double Wells,A
550,Doubtful Canyon,A
551,Dough Mountain,A
552,Doyle Hill,A
553,Doyle Peak,A
554,Dugout Canyon,A
555,Dulce,A
556,Dulce Draw,A
557,Duncan,A
558,Dunken,A
559,Dunlap,A
560,Dunlap NE,A
561,Dunlap Ranch,A
562,Dunlap Sill,A
563,Duoro,A
564,Duran,A
565,Duran NE,A
566,Dusty,A
567,Dwyer,A
568,Dwyer SE,A
569,Eagle Eye Peak,A
570,Eagle Mountain,A
571,Eagle Nest,A
572,Eagle Peak,A
573,Eagle Tail Mountain,A
574,Ear Rock,A
575,East Fork Kutz Canyon,A
576,East Gavilan Canyon,A
577,East Lake,A
578,East Mesa,A
579,East of Great Bend,A
580,East of Grey Hill Spring,A
581,Echo Amphitheater,A
582,Edgewood,A
583,Eighteenmile Hill,A
584,Eightmile Draw,A
585,El Cabo,A
586,El Cuervo Butte,A
587,El Dado,A
588,El Dado Mesa,A
589,El Morro,A
