"","name","WAT","EN_FOR","DN_FOR","DB_FOR","MIX_FOR","CL_SHB","OP_SHB","WOOD_SAV","SAV","GRA","WETL","CROP","URB","NAT_CROP","SNOW","BAR","ELEV_MAX","ELEV_AVE","ELEV_MIN","SMAX","SAVG","ASP","BIO_1","BIO_2","BIO_3","BIO_4","BIO_5","BIO_6","BIO_7","BIO_8","BIO_9","BIO_10","BIO_11","BIO_12","BIO_13","BIO_14","BIO_15","BIO_16","BIO_17","BIO_18","BIO_19"
"1541","Rincon",0,0,0,0,0,0,85.33,0,0,2.56,0,12.11,0,0,0,0,"1550.16687011719","1305.30979383215","1221",19.5394344329834,2.35651488484432,174.419133203294,15.3907240591943,18.6868855232994,47.3104416482372,776.975666832492,35.2432518005371,-4.82100009918213,39.494376540184,24.0730002721151,13.0049792379141,25.0863753159841,5.98410419623057,280.5,60.5,4.5,76.6798145851437,155.5,20.5,131.5,44
"1542","Rincon Hondo",0,0,0,0,0,0,43.11,0,0,56.89,0,0,0,0,0,0,"2284.01049804688","2100.00332731234","1946.51025390625",17.3057689666748,3.76111262763881,177.924441361927,9.88277080903451,20.2946353902419,48.8082910413455,778.564529181252,30.5082492828369,-11.9242496490479,41.5803122520447,19.1549789905548,13.226323078076,19.6943957805634,0.648677031199137,305,63,11.5,63.1747661059673,150.5,35.75,125.75,51
"1543","Rincon Marquez",0,0,0,0,0,0,79.44,0,0,20.56,0,0,0,0,0,0,"2281.88793945312","2118.99638814555","2005.01379394531",31.7255821228027,3.32460848121903,155.015355766015,9.68249997496605,18.4444166620572,43.8622767508316,851.473680341262,29.9572505950928,-12.0935001373291,42.0507507324219,19.6729586919149,1.20891650517782,20.3461669286092,-0.661458492279053,251,48,11,56.9373529278349,120,36,101,36
"1544","Rio Puerco",0,0,0,0,0,0,37.89,0,0,62.11,0,0,0,0,0,0,"1727.60986328125","1609.60606481347","1510.86669921875",16.415958404541,1.51730157945083,194.443630823103,13.003156080842,19.4561453362306,45.4795358991913,852.779909168203,34.1287498474121,-8.65124988555908,42.7799997329712,22.8456247647603,8.22137496868769,23.6038328806559,2.61479163169861,237,48,10,61.6184246504525,117,31,96,34
"1545","Rippee Ranch",0,0,0,0,0,0,20,0,0,80,0,0,0,0,0,0,"1349.42956542969","1302.58106258774","1242.26794433594",2.75145220756531,0.678481164983925,236.940599285192,14.4673748332231,17.1677495006782,43.3770026060099,821.436520318459,34.015998840332,-5.56199979782104,39.5779986381531,23.6480828921,6.13841652870178,24.4750409126282,4.255499958992,390,73,10,67.8615984267959,191,33,187,34
"1546","Robertson Canyon",0,0,0,0,0,0,97.11,0,0,2.89,0,0,0,0,0,0,"2098.16430664062","1912.54034707968","1723.52893066406",23.6518211364746,6.04352256208184,155.43263574906,13.6251354242365,16.4251457800468,45.6640937069473,711.846778368781,31.1574993133545,-4.81199979782104,35.9694991111755,21.3985417683919,9.41879152258237,22.4387083053589,4.94625012079875,438,92,11,73.5984189553503,236,42,208,52
"1547","Robinson Peak",0,0,0,0,0,0,0.11,0.33,0,99.56,0,0,0,0,0,0,"2465.42602539062","2182.16749845613","2017.38037109375",25.8082828521729,4.16420824620859,166.087016026352,8.44990619023641,17.6065205732981,44.5714962040051,806.252268161191,28.3174991607666,-11.1842498779297,39.5017490386963,18.4684998194377,-1.24041660626729,18.4684998194377,-1.24041660626729,416,82,10,72.8514332533756,209,32,209,32
"1548","Rociada",0,71.11,0,0,0,1.67,0.33,2.89,0,21.78,0,0.78,0,1.44,0,0,"3160.04663085938","2560.52315006771","2235.70581054688",34.7271766662598,11.6414107942319,139.561662273781,6.64798955867688,14.7573540856441,44.4067266413699,685.14404311649,23.0259990692139,-10.2062501907349,33.2322492599487,14.7689165274302,1.73004174232483,15.4256664911906,-1.29741668701172,532,102,21,60.0163158061566,253,73,245,79
"1549","Rock Camp",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"1349.6630859375","1230.61362258347","1177.51977539062",12.4955167770386,1.27148346615235,215.339425174015,14.2556457351505,16.2172499039055,41.2073336255467,846.982012692281,33.8127517700195,-5.54250001907349,39.355251789093,24.7913750012716,3.85383327802022,24.7913750012716,3.85383327802022,437,76,12,61.4800558581532,205,39,205,39
"1550","Rock House Canyon",0,0,0,0,0,0,89.78,0,0,10.22,0,0,0,0,0,0,"1371.17907714844","1275.24667580842","1167.83923339844",11.1240558624268,2.50144729213433,152.221497283442,15.0321432252725,17.9250365297,44.074910185126,825.536054410824,35.5677490234375,-5.79325008392334,40.6703752279282,24.4290623664856,6.58229167759418,25.0737498601278,4.78092710177104,323,63.75,8,67.7751099210119,160,27.25,149.75,31
