#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
295,Cypress Island,A,Y,0
296,Damnation Peak,A,Y,0
297,Darland Mountain,A,Y,0
298,Darrington,A,Y,0
299,Dartford,A,Y,0
300,Davenport,A,Y,0
301,Davis Peak,A,Y,0
302,Day Lake,A,Y,0
303,Dayton,P,Y,1
304,Dead Canyon,A,Y,0
305,Deadman Peak,P,Y,1
306,Deadmans Hill,A,Y,0
307,Dean Creek,A,N,0
308,Deception Pass,A,Y,0
309,Deep Creek,A,Y,0
310,Deep Lake,A,Y,0
311,Deer Island,A,N,0
312,Deer Lake,A,Y,0
313,Deer Park,A,Y,0
314,Delaney,P,Y,1
315,Deming,A,Y,0
316,Des Moines,A,N,0
317,Destruction Island,A,N,0
318,Devils Slide,A,N,0
319,Diablo Dam,A,Y,0
320,Diamond,A,Y,0
321,Diamond Lake,A,N,0
322,Diamond Peak,P,Y,1
323,Dickey Lake,A,Y,0
324,Disautel,P,Y,1
325,Disque,A,Y,0
326,Dixie,P,Y,1
327,Dodge,P,Y,1
328,Doe Mountain,P,Y,1
329,Dole,A,Y,0
330,Dome Peak,A,Y,0
331,Doris,P,Y,1
332,Dot,A,Y,0
333,Doty,A,N,0
334,Douglas,P,Y,1
335,Douty Canyon,A,Y,0
336,Downey Mountain,A,Y,0
337,Draper Lake,P,Y,1
338,Dry Bed Lakes,A,N,0
339,Duncan Ridge,P,Y,1
340,Dungeness,A,N,0
341,Dunn Mountain,A,Y,0
342,Dusty,A,Y,0
343,Eagle Gorge,A,N,0
344,Eagle Lakes,P,Y,1
345,East Canyon Ridge,A,N,0
346,East Kittitas,P,Y,1
347,East of Raymond,A,N,0
348,East Olympia,A,N,0
349,Easton,A,Y,0
350,Eatonville,A,Y,0
351,Echo Valley,A,Y,0
352,Eckler Mountain,P,Y,1
353,Edds Mountain,A,N,0
354,Eden,P,N,1
355,Eden Valley,A,N,0
356,Edmonds East,A,N,0
357,Edmonds West,A,N,0
358,Edwall,A,Y,0
359,Elbe,A,Y,0
360,Elberton,A,Y,0
361,Eldon,A,N,0
362,Eldorado Peak,A,Y,0
363,Electric City,P,Y,1
364,Elephant Mountain,A,Y,0
365,Eliza Island,A,Y,0
366,Elk,A,N,0
367,Elk Mountain,A,N,0
368,Elk Rock,A,N,0
369,Elkhorn Creek,A,N,0
370,Ellensburg North,P,Y,1
371,Ellensburg South,P,Y,1
372,Ellis Mountain,A,Y,0
373,Ellisforde,P,Y,1
374,Elma,A,N,0
375,Elochoman Lake,A,N,0
376,Elochoman Pass,A,N,0
377,Eltopia,P,Y,1
378,Elwha,A,Y,0
379,Elwood,P,Y,1
380,Emerson Nipple,P,Y,1
381,Empey Mountain,A,Y,0
382,Enchantment Lakes,P,N,1
383,Endicott,A,Y,0
384,Enterprise,P,Y,1
385,Entiat,P,Y,1
386,Enumclaw,A,N,0
387,Ephrata,P,Y,1
388,Ephrata SW,P,Y,1
389,Eureka,P,Y,1
390,Everett,A,N,0
391,Evergreen Mountain,A,N,0
